apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-pt.mangalivre-v1.4.57.apk,pt,mangalivre,1.4.57,9,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mangalivreblog-v1.4.1.apk,pt,mangalivreblog,1.4.1,19,,
tachiyomi-pt.mangalivreto-v1.4.46.apk,pt,mangalivreto,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mangaonline-v1.4.46.apk,pt,mangaonline,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mangasbrasuka-v1.4.45.apk,pt,mangasbrasuka,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mangastop-v1.4.39.apk,pt,mangastop,1.4.39,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.mangotoons-v1.4.5.apk,pt,mangotoons,1.4.5,64,,
tachiyomi-pt.manhastro-v1.4.55.apk,pt,manhastro,1.4.55,49,,
tachiyomi-pt.mediocretoons-v1.4.16.apk,pt,mediocretoons,1.4.16,55,,
tachiyomi-pt.minitwoscan-v1.4.45.apk,pt,minitwoscan,1.4.45,3,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.monsure-v1.4.45.apk,pt,monsure,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.montetai-v1.4.46.apk,pt,montetai,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mryaoi-v1.4.45.apk,pt,mryaoi,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.mugiwarasoficial-v1.4.45.apk,pt,mugiwarasoficial,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.muitohentai-v1.4.2.apk,pt,muitohentai,1.4.2,8,,
