apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-tr.mangawow-v1.4.45.apk,tr,mangawow,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangawt-v1.4.48.apk,tr,mangawt,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.merlinscans-v1.4.34.apk,tr,merlinscans,1.4.34,4,,
tachiyomi-tr.mikrokosmosfansub-v1.4.12.apk,tr,mikrokosmosfansub,1.4.12,4,,zeistmanga
tachiyomi-tr.milasub-v1.4.48.apk,tr,milasub,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.moondaisyscans-v1.4.33.apk,tr,moondaisyscans,1.4.33,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.nirvanamanga-v1.4.30.apk,tr,nirvanamanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.niverafansub-v1.4.47.apk,tr,niverafansub,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.opiatoon-v1.4.48.apk,tr,opiatoon,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.patimanga-v1.4.30.apk,tr,patimanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
